lad19cd,lad19nm,index_of_multiple_deprivation,income_deprivation,employment_deprivation,education_skills_and_training,health_deprivation_and_disability,crime,barriers_to_housing_and_services,living_environment_deprivation,income_deprivation_affecting_children,income_deprivation_affecting_older_people,country,region_code,region_name
E07000078,Cheltenham,7,7,7,8,6,6,8,8,6,7,England,E12000009,South West
E07000079,Cotswold,9,9,10,9,9,10,2,5,9,10,England,E12000009,South West
E07000080,Forest of Dean,6,6,5,4,7,10,5,3,6,6,England,E12000009,South West
E07000081,Gloucester,4,4,4,3,3,6,5,8,4,5,England,E12000009,South West
E07000082,Stroud,9,8,8,9,8,10,8,7,9,8,England,E12000009,South West
E07000083,Tewkesbury,9,8,9,7,8,10,4,7,8,9,England,E12000009,South West
E07000084,Basingstoke and Deane,8,9,9,7,7,6,4,9,9,9,England,E12000008,South East
E07000085,East Hampshire,9,10,9,9,9,7,4,6,10,10,England,E12000008,South East
E07000086,Eastleigh,10,9,9,8,9,6,9,8,9,9,England,E12000008,South East
E07000087,Fareham,10,10,10,9,9,8,6,7,10,10,England,E12000008,South East
E07000088,Gosport,5,6,5,2,4,3,8,4,5,7,England,E12000008,South East
E07000089,Hart,10,10,10,10,10,9,7,10,10,10,England,E12000008,South East
E07000090,Havant,4,4,4,2,4,3,8,6,3,5,England,E12000008,South East
E07000091,New Forest,8,8,7,8,8,6,4,8,8,9,England,E12000008,South East
E07000092,Rushmoor,7,6,8,6,5,5,4,9,7,2,England,E12000008,South East
E07000093,Test Valley,9,9,9,8,9,8,3,7,9,10,England,E12000008,South East
E07000094,Winchester,10,10,10,10,10,8,3,6,10,10,England,E12000008,South East
E07000095,Broxbourne,6,6,7,4,9,4,1,8,5,5,England,E12000006,East
E07000096,Dacorum,8,7,8,7,9,5,5,10,7,8,England,E12000006,East
E07000098,Hertsmere,8,7,7,8,8,4,2,9,8,6,England,E12000006,East
E07000099,North Hertfordshire,9,8,8,8,9,7,6,9,8,8,England,E12000006,East
E07000102,Three Rivers,10,9,9,9,10,8,5,10,9,8,England,E12000006,East
E07000103,Watford,7,7,8,8,7,3,3,4,7,5,England,E12000006,East
E07000105,Ashford,5,5,6,4,7,4,1,7,5,6,England,E12000008,South East
E07000106,Canterbury,6,6,6,6,6,4,4,9,6,6,England,E12000008,South East
E07000107,Dartford,5,7,7,5,6,1,3,3,6,7,England,E12000008,South East
E07000108,Dover,4,4,3,4,5,4,4,7,3,5,England,E12000008,South East
E07000109,Gravesham,4,5,5,3,6,1,9,6,4,5,England,E12000008,South East
E07000110,Maidstone,6,7,7,6,7,4,3,4,6,7,England,E12000008,South East
E07000111,Sevenoaks,8,8,9,8,10,4,5,6,8,9,England,E12000008,South East
E07000112,Folkestone and Hythe,3,3,2,3,4,5,4,5,3,4,England,E12000008,South East
E07000113,Swale,2,3,3,1,3,2,4,5,2,4,England,E12000008,South East
E07000114,Thanet,1,1,1,2,3,1,5,6,1,2,England,E12000008,South East
E07000115,Tonbridge and Malling,8,8,8,7,9,6,4,7,7,8,England,E12000008,South East
E07000116,Tunbridge Wells,9,9,9,9,9,7,6,5,9,8,England,E12000008,South East
E07000117,Burnley,1,1,1,1,1,1,10,1,1,2,England,E12000002,North West
E07000118,Chorley,6,6,5,7,4,6,9,6,7,6,England,E12000002,North West
E07000119,Fylde,7,7,4,9,3,8,10,5,8,7,England,E12000002,North West
E07000120,Hyndburn,1,2,1,2,1,2,10,1,2,2,England,E12000002,North West
E07000121,Lancaster,3,4,3,5,2,4,9,2,4,4,England,E12000002,North West
E07000122,Pendle,2,2,2,2,2,4,10,1,4,2,England,E12000002,North West
E07000123,Preston,2,2,2,3,1,2,10,1,3,2,England,E12000002,North West
E07000124,Ribble Valley,9,10,9,10,7,9,7,4,10,10,England,E12000002,North West
E07000125,Rossendale,3,3,2,5,3,4,8,3,4,3,England,E12000002,North West
E07000126,South Ribble,7,7,6,8,4,7,10,4,7,7,England,E12000002,North West
E07000127,West Lancashire,5,4,4,5,5,8,7,8,5,4,England,E12000002,North West
E07000128,Wyre,5,4,3,5,3,7,10,5,4,5,England,E12000002,North West
E07000129,Blaby,9,9,9,7,7,7,10,9,9,8,England,E12000004,East Midlands
E07000130,Charnwood,8,8,8,6,7,6,8,7,7,7,England,E12000004,East Midlands
E07000131,Harborough,10,10,10,9,10,9,7,9,10,10,England,E12000004,East Midlands
E07000132,Hinckley and Bosworth,8,8,7,5,7,6,9,8,8,8,England,E12000004,East Midlands
E07000133,Melton,8,9,9,8,8,8,4,6,8,9,England,E12000004,East Midlands
E07000134,North West Leicestershire,7,7,6,5,6,7,9,9,7,7,England,E12000004,East Midlands
E07000135,Oadby and Wigston,8,7,7,6,6,8,8,10,7,7,England,E12000004,East Midlands
E07000136,Boston,4,4,4,1,4,8,6,4,5,4,England,E12000004,East Midlands
E07000137,East Lindsey,2,2,1,2,2,9,3,3,2,3,England,E12000004,East Midlands
E07000138,Lincoln,2,3,2,2,2,4,5,7,2,2,England,E12000004,East Midlands
E07000139,North Kesteven,9,8,7,8,8,10,6,8,8,7,England,E12000004,East Midlands
E07000140,South Holland,6,6,6,2,6,9,4,7,6,6,England,E12000004,East Midlands
E07000141,South Kesteven,8,7,7,7,7,10,5,9,6,8,England,E12000004,East Midlands
E07000142,West Lindsey,5,4,3,5,5,10,4,4,4,7,England,E12000004,East Midlands
E07000143,Breckland,5,6,6,2,5,8,2,6,6,6,England,E12000006,East
E07000144,Broadland,9,9,7,7,7,10,5,7,9,9,England,E12000006,East
E07000145,Great Yarmouth,1,1,1,1,2,4,6,4,1,3,England,E12000006,East
E07000146,King's Lynn and West Norfolk,3,5,4,2,3,9,3,4,5,5,England,E12000006,East
E07000147,North Norfolk,4,6,5,4,5,10,1,2,6,7,England,E12000006,East
E07000148,Norwich,2,2,3,1,2,3,10,5,1,2,England,E12000006,East
E07000149,South Norfolk,8,8,8,7,8,10,3,4,9,8,England,E12000006,East
E07000150,Corby,3,4,3,1,2,4,3,10,4,4,England,E12000004,East Midlands
E07000151,Daventry,8,9,9,7,8,6,4,7,8,9,England,E12000004,East Midlands
E07000152,East Northamptonshire,8,8,7,4,7,7,6,8,8,7,England,E12000004,East Midlands
E07000153,Kettering,5,5,5,4,4,4,7,7,5,6,England,E12000004,East Midlands
E07000154,Northampton,4,4,5,3,3,2,3,6,4,4,England,E12000004,East Midlands
E07000155,South Northamptonshire,10,10,10,9,10,9,6,8,10,10,England,E12000004,East Midlands
E07000156,Wellingborough,4,4,4,2,4,3,5,8,4,5,England,E12000004,East Midlands
E07000163,Craven,8,9,8,9,7,10,8,2,10,9,England,E12000003,Yorkshire and The Humber
E07000164,Hambleton,9,9,9,8,9,10,4,4,9,9,England,E12000003,Yorkshire and The Humber
E07000165,Harrogate,9,10,9,9,8,10,5,4,10,9,England,E12000003,Yorkshire and The Humber
E07000166,Richmondshire,9,10,10,5,8,10,2,5,10,9,England,E12000003,Yorkshire and The Humber
E07000167,Ryedale,7,8,8,6,8,10,2,1,8,8,England,E12000003,Yorkshire and The Humber
E07000168,Scarborough,3,3,2,2,2,8,7,2,4,4,England,E12000003,Yorkshire and The Humber
E07000169,Selby,8,8,7,6,7,9,7,7,8,8,England,E12000003,Yorkshire and The Humber
E07000170,Ashfield,3,3,2,1,2,3,9,9,2,4,England,E12000004,East Midlands
E07000171,Bassetlaw,4,5,3,3,3,5,6,7,4,5,England,E12000004,East Midlands
E07000172,Broxtowe,7,7,6,7,6,7,10,7,6,6,England,E12000004,East Midlands
E07000173,Gedling,7,6,5,6,6,7,9,9,6,7,England,E12000004,East Midlands
E07000174,Mansfield,2,2,2,1,1,3,8,9,2,4,England,E12000004,East Midlands
E07000175,Newark and Sherwood,5,5,4,3,5,7,6,7,5,7,England,E12000004,East Midlands
E07000176,Rushcliffe,10,10,9,10,10,10,9,9,10,10,England,E12000004,East Midlands
E07000177,Cherwell,7,8,9,5,7,8,3,5,8,8,England,E12000008,South East
E07000178,Oxford,6,7,9,7,6,5,4,3,5,5,England,E12000008,South East
E07000179,South Oxfordshire,10,10,10,9,10,9,5,7,10,10,England,E12000008,South East
E07000180,Vale of White Horse,10,10,10,9,10,10,5,9,9,10,England,E12000008,South East
E07000181,West Oxfordshire,10,10,10,8,9,10,5,9,10,10,England,E12000008,South East
E07000187,Mendip,6,6,6,6,6,7,4,5,7,7,England,E12000009,South West
E07000188,Sedgemoor,4,5,4,4,5,5,6,2,5,6,England,E12000009,South West
E07000189,South Somerset,6,7,6,5,6,7,4,3,6,8,England,E12000009,South West
E07000192,Cannock Chase,5,4,4,2,4,6,9,7,4,3,England,E12000005,West Midlands
E07000193,East Staffordshire,5,6,6,4,4,6,8,2,6,6,England,E12000005,West Midlands
E07000194,Lichfield,8,8,7,7,7,8,7,9,8,8,England,E12000005,West Midlands
E07000195,Newcastle-under-Lyme,5,6,4,4,3,6,10,7,6,5,England,E12000005,West Midlands
E07000196,South Staffordshire,8,7,7,7,7,7,8,6,8,7,England,E12000005,West Midlands
E07000197,Stafford,8,8,7,8,6,8,6,7,8,9,England,E12000005,West Midlands
E07000198,Staffordshire Moorlands,7,8,6,6,6,8,7,5,8,7,England,E12000005,West Midlands
E07000199,Tamworth,4,4,4,2,3,4,7,9,4,3,England,E12000005,West Midlands
E07000200,Babergh,7,8,8,6,9,7,2,5,8,8,England,E12000006,East
E07000202,Ipswich,3,3,3,1,3,2,7,3,3,4,England,E12000006,East
E07000203,Mid Suffolk,8,9,9,7,9,9,1,4,9,9,England,E12000006,East
E07000207,Elmbridge,10,10,10,10,10,6,7,9,10,10,England,E12000008,South East
E07000208,Epsom and Ewell,10,10,10,10,10,5,6,8,10,10,England,E12000008,South East
E07000209,Guildford,10,10,10,9,10,8,5,7,9,10,England,E12000008,South East
E07000210,Mole Valley,10,10,10,10,9,8,4,7,10,10,England,E12000008,South East
E07000211,Reigate and Banstead,9,9,9,9,8,6,4,7,9,10,England,E12000008,South East
E07000212,Runnymede,9,9,10,8,9,5,2,6,8,8,England,E12000008,South East
E07000213,Spelthorne,7,8,9,6,8,4,2,4,7,9,England,E12000008,South East
E07000214,Surrey Heath,10,10,10,10,9,9,5,10,10,10,England,E12000008,South East
E07000215,Tandridge,9,10,9,8,8,4,4,6,9,10,England,E12000008,South East
E07000216,Waverley,10,10,10,10,9,9,7,10,10,10,England,E12000008,South East
E07000217,Woking,9,9,9,9,8,6,4,8,9,9,England,E12000008,South East
E07000218,North Warwickshire,6,7,6,4,5,5,6,4,6,6,England,E12000005,West Midlands
E07000219,Nuneaton and Bedworth,4,4,3,2,3,3,8,6,3,4,England,E12000005,West Midlands
E07000220,Rugby,8,7,7,7,7,5,6,6,7,7,England,E12000005,West Midlands
E07000221,Stratford-on-Avon,9,9,9,10,8,8,3,4,9,9,England,E12000005,West Midlands
E07000222,Warwick,9,9,9,10,7,6,5,6,9,8,England,E12000005,West Midlands
E07000223,Adur,6,6,5,3,5,7,8,5,6,5,England,E12000008,South East
E07000224,Arun,5,6,5,4,4,6,3,8,6,6,England,E12000008,South East
E07000225,Chichester,8,8,8,8,7,9,3,3,8,9,England,E12000008,South East
E07000226,Crawley,5,5,7,3,5,4,2,8,5,4,England,E12000008,South East
E07000227,Horsham,10,10,10,10,9,9,3,6,10,10,England,E12000008,South East
E07000228,Mid Sussex,10,10,10,9,10,9,6,9,10,10,England,E12000008,South East
E07000229,Worthing,6,6,5,6,5,7,9,2,7,6,England,E12000008,South East
E07000234,Bromsgrove,9,9,8,9,7,6,7,9,9,9,England,E12000005,West Midlands
E07000235,Malvern Hills,7,7,6,9,8,8,2,2,6,8,England,E12000005,West Midlands
E07000236,Redditch,4,4,4,3,3,5,1,10,4,4,England,E12000005,West Midlands
E07000237,Worcester,5,5,5,5,5,4,7,3,4,5,England,E12000005,West Midlands
E07000238,Wychavon,7,7,7,6,8,7,2,4,7,8,England,E12000005,West Midlands
E07000239,Wyre Forest,4,4,3,4,5,4,4,4,4,5,England,E12000005,West Midlands
E07000240,St Albans,10,10,10,10,10,7,5,9,10,10,England,E12000006,East
E07000241,Welwyn Hatfield,7,7,8,7,7,6,2,9,6,7,England,E12000006,East
E07000242,East Hertfordshire,10,10,10,10,10,7,6,9,10,9,England,E12000006,East
E07000243,Stevenage,5,5,5,4,5,3,3,9,4,4,England,E12000006,East
E07000244,East Suffolk,5,5,4,4,6,7,6,4,5,7,England,E12000006,East
E07000245,West Suffolk,6,8,8,4,6,7,1,8,8,8,England,E12000006,East
E07000246,Somerset West and Taunton,5,6,5,6,5,6,3,3,6,6,England,E12000009,South West
E08000001,Bolton,2,1,2,3,2,1,9,3,2,2,England,E12000002,North West
E08000002,Bury,3,3,2,6,3,2,9,4,4,4,England,E12000002,North West
E08000003,Manchester,1,1,2,3,1,1,2,2,1,1,England,E12000002,North West
E08000004,Oldham,1,1,1,1,2,1,10,2,2,2,England,E12000002,North West
E08000005,Rochdale,1,1,1,2,1,1,8,5,2,2,England,E12000002,North West
E08000006,Salford,1,1,1,2,1,1,7,3,1,1,England,E12000002,North West
E08000007,Stockport,5,5,4,6,3,3,10,5,6,5,England,E12000002,North West
E08000008,Tameside,1,2,2,2,1,1,9,3,2,2,England,E12000002,North West
E08000009,Trafford,7,6,5,9,5,5,10,5,7,5,England,E12000002,North West
E08000010,Wigan,3,3,2,3,2,2,10,8,4,3,England,E12000002,North West
E08000011,Knowsley,1,1,1,1,1,3,8,2,1,1,England,E12000002,North West
E08000012,Liverpool,1,1,1,1,1,1,9,1,1,1,England,E12000002,North West
E08000013,St. Helens,1,2,1,3,1,3,10,6,2,3,England,E12000002,North West
E08000014,Sefton,2,2,1,5,1,5,10,3,3,3,England,E12000002,North West
E08000015,Wirral,2,2,1,5,1,5,10,3,2,3,England,E12000002,North West
E08000016,Barnsley,2,2,1,1,1,1,10,10,2,3,England,E12000003,Yorkshire and The Humber
E08000017,Doncaster,2,2,2,1,2,1,9,8,2,3,England,E12000003,Yorkshire and The Humber
E08000018,Rotherham,2,2,2,1,1,2,10,8,2,3,England,E12000003,Yorkshire and The Humber
E08000019,Sheffield,2,2,3,2,2,2,8,5,2,2,England,E12000003,Yorkshire and The Humber
E08000021,Newcastle upon Tyne,2,2,2,2,1,2,8,9,1,1,England,E12000001,North East
E08000022,North Tyneside,4,3,2,5,3,4,9,10,4,3,England,E12000001,North East
E08000023,South Tyneside,1,1,1,3,1,3,9,10,1,2,England,E12000001,North East
E08000024,Sunderland,2,1,1,2,1,2,10,10,1,1,England,E12000001,North East
E08000025,Birmingham,1,1,1,2,2,3,1,1,1,1,England,E12000005,West Midlands
E08000026,Coventry,3,3,4,4,3,4,6,2,2,2,England,E12000005,West Midlands
E08000027,Dudley,3,2,2,3,3,5,10,4,2,3,England,E12000005,West Midlands
E08000028,Sandwell,1,1,1,1,2,3,6,1,1,1,England,E12000005,West Midlands
E08000029,Solihull,6,6,5,6,6,6,6,8,5,6,England,E12000005,West Midlands
E08000030,Walsall,1,1,2,1,2,3,8,3,1,2,England,E12000005,West Midlands
E08000031,Wolverhampton,1,1,1,2,2,4,6,3,1,1,England,E12000005,West Midlands
E08000032,Bradford,1,1,2,1,2,1,8,1,2,2,England,E12000003,Yorkshire and The Humber
E08000033,Calderdale,3,3,3,5,3,1,10,1,3,4,England,E12000003,Yorkshire and The Humber
E08000034,Kirklees,3,3,3,4,4,2,8,2,4,4,England,E12000003,Yorkshire and The Humber
E08000035,Leeds,2,3,3,3,3,1,9,1,3,3,England,E12000003,Yorkshire and The Humber
E08000036,Wakefield,2,3,2,1,2,1,9,8,3,4,England,E12000003,Yorkshire and The Humber
E08000037,Gateshead,2,2,2,3,1,2,8,9,3,2,England,E12000001,North East
E09000001,City of London,7,9,10,10,9,10,1,1,10,9,England,E12000007,London
E09000002,Barking and Dagenham,1,1,3,4,4,1,1,2,1,1,England,E12000007,London
E09000003,Barnet,6,5,7,10,10,4,1,3,7,3,England,E12000007,London
E09000004,Bexley,6,6,7,6,8,5,2,5,5,6,England,E12000007,London
E09000005,Brent,3,3,4,8,7,2,1,2,4,1,England,E12000007,London
E09000006,Bromley,8,7,8,9,9,5,2,6,6,7,England,E12000007,London
E09000007,Camden,5,3,5,9,8,3,5,2,3,1,England,E12000007,London
E09000008,Croydon,4,4,5,7,6,3,1,3,3,3,England,E12000007,London
E09000009,Ealing,4,3,5,8,6,3,1,2,4,1,England,E12000007,London
E09000010,Enfield,3,2,4,5,7,3,1,3,2,2,England,E12000007,London
E09000011,Greenwich,3,2,4,7,5,2,1,3,2,1,England,E12000007,London
E09000012,Hackney,1,1,3,8,3,1,1,1,1,1,England,E12000007,London
E09000013,Hammersmith and Fulham,4,3,5,10,5,2,2,1,3,1,England,E12000007,London
E09000014,Haringey,2,2,3,6,5,1,1,1,2,1,England,E12000007,London
E09000015,Harrow,7,5,8,10,10,6,1,5,7,3,England,E12000007,London
E09000016,Havering,6,6,6,4,8,4,5,6,5,6,England,E12000007,London
E09000017,Hillingdon,6,5,7,7,7,3,1,5,5,4,England,E12000007,London
E09000018,Hounslow,4,4,6,8,6,2,1,2,4,2,England,E12000007,London
E09000019,Islington,2,2,3,9,3,1,2,1,1,1,England,E12000007,London
E09000020,Kensington and Chelsea,4,5,6,10,10,3,1,1,6,2,England,E12000007,London
E09000021,Kingston upon Thames,9,8,9,10,10,7,3,3,9,6,England,E12000007,London
E09000022,Lambeth,3,3,5,9,4,1,1,1,2,1,England,E12000007,London
E09000023,Lewisham,2,2,4,8,4,2,1,1,2,1,England,E12000007,London
E09000024,Merton,7,6,8,10,8,5,5,2,6,3,England,E12000007,London
E09000025,Newham,2,2,5,6,5,2,1,2,3,1,England,E12000007,London
E09000026,Redbridge,6,5,7,9,9,3,2,3,6,2,England,E12000007,London
E09000027,Richmond upon Thames,10,9,10,10,10,5,8,3,10,8,England,E12000007,London
E09000028,Southwark,3,2,4,9,4,2,1,1,1,1,England,E12000007,London
E09000029,Sutton,8,7,7,9,8,6,5,4,7,6,England,E12000007,London
E09000030,Tower Hamlets,2,1,4,7,4,2,1,2,1,1,England,E12000007,London
E09000031,Waltham Forest,3,3,5,7,6,2,1,2,3,1,England,E12000007,London
E09000032,Wandsworth,6,6,8,10,7,4,2,2,5,2,England,E12000007,London
E09000033,Westminster,5,4,6,10,9,4,5,1,4,1,England,E12000007,London
N09000001,Antrim and Newtownabbey,,,,,,,,,,,Northern Ireland,,
N09000002,"Armagh City, Banbridge and Craigavon",,,,,,,,,,,Northern Ireland,,
N09000003,Belfast,,,,,,,,,,,Northern Ireland,,
N09000004,Causeway Coast and Glens,,,,,,,,,,,Northern Ireland,,
N09000005,Derry City and Strabane,,,,,,,,,,,Northern Ireland,,
N09000006,Fermanagh and Omagh,,,,,,,,,,,Northern Ireland,,
